Species,MC3,MC4
Rhodococcus.1_PT,1.16,0.001
Micrococcus.2_PT,1.16,0.01
Bifidobacterium.3_PT,1.16,0.1
Bifidobacterium.4_PT,1.16,2.49
Bifidobacterium.5_PT,1.16,0
Bifidobacterium.6_PT,1.16,0
Bifidobacterium.7_PT,1.16,0
Bifidobacterium.8_PT,1.16,0
Bifidobacterium.9_PT,1.16,0
Bifidobacterium.10_PT,1.16,0
Bacteroides.11_PT,1.16,2.49
Bacteroides.12_PT,1.16,2.49
Bacteroides.13_PT,1.16,2.49
Bacteroides.14_PT,1.16,2.49
Bacteroides.15_PT,4.07,2.49
Bacteroides.16_PT,1.16,2.49
Parabacteroides.17_PT,4.65,0.001
Prevotella.18_PT,1.16,0.1
Alistipes.19_PT,8.14,0.01
Bacillus.20_PT,1.16,2.49
Bacillus.21_PT,1.16,2.49
Granulicatella.22_PT,1.16,2.49
Enterococcus.23_PT,1.16,2.49
Lactobacillus.24_PT,1.16,2.49
Lactobacillus.25_PT,1.16,2.49
Lactobacillus.26_PT,1.16,2.49
Lactococcus.27_PT,1.16,2.49
Streptococcus.28_PT,1.16,2.49
Streptococcus.29_PT,1.16,2.49
Clostridium sensu stricto.30_PT,1.16,2.49
Anaerostipes.31_PT,1.16,2.49
Blautia.32_PT,5.81,0.001
Dorea.33_PT,1.16,2.49
Lachnospiracea_incertae_sedis.34_PT,1.16,2.49
Lachnospiracea_incertae_sedis.35_PT,1.16,2.49
Lachnospiracea_incertae_sedis.36_PT,1.16,2.49
Roseburia.37_PT,8.72,0.01
Ruminococcus2.38_PT,1.16,2.49
Clostridium XI.39_PT,1.16,2.49
Clostridium IV.40_PT,1.16,2.49
Faecalibacterium.41_PT,6.98,0.1
Veillonella.42_PT,1.16,2.49
Fusobacterium.43_PT,1.74,2.49
Victivallis.44_PT,0.58,2.49
Citrobacter.45_PT,1.16,2.49
Enterobacter.46_PT,1.16,2.49
Enterobacter.47_PT,1.16,2.49
Enterobacter.48_PT,1.16,2.49
Escherichia/Shigella.49_PT,4.07,2.49
Klebsiella.50_PT,1.16,2.49
Salmonella.51_PT,1.16,2.49
Serratia.52_PT,1.16,2.49
Pseudomonas.53_PT,1.16,2.49
Pseudomonas.54_PT,1.16,2.49
Akkermansia.55_PT,2.91,2.49
